Order,Open,High,Low,Close,Volume
1809,521.73,521.816,521.66,521.806,175319
1810,521.64,521.75,521.57,521.74,201553
1811,521.705,521.79,521.39,521.61,322330
1812,521.81,521.83,521.645,521.709,222776
1813,521.505,521.87,521.48,521.809,296133
1814,521.415,521.69,521.394,521.505,207969
1815,521.62,521.665,521.38,521.405,210975
1816,521.09,521.63,521.06,521.61,471730
1817,521.48,522.115,521.075,521.09,330728
1818,521.7,521.76,521.46,521.461,234672
1819,521.69,521.8,521.56,521.7,262930
1820,521.77,521.865,521.57,521.69,295401
1821,521.91,521.91,521.713,521.765,256265
1822,522.06,522.069,521.89,521.905,208644
1823,522.11,522.21,522.05,522.062,185775
1824,522.17,522.225,521.98,522.115,243497
1825,522.095,522.22,522.091,522.17,202363
1826,522.12,522.2,521.96,522.09,247293
1827,522,522.17,522,522.115,277993
1828,521.82,522.05,521.79,521.99,1067981
1829,521.81,521.885,521.66,521.83,1013867
1830,521.8,521.959,521.765,521.8,584160
1831,521.71,521.85,521.6,521.805,630321
1832,521.59,521.845,521.54,521.71,438179
1833,521.1,521.6,520.97,521.595,648795
1834,521.25,521.418,521.07,521.109,919844
1835,521.9,521.915,521.14,521.254,1046042
1836,521.86,521.915,521.52,521.895,442259
1837,521.68,521.86,521.6,521.855,283471
1838,521.8,522.065,521.66,521.68,394206
1839,522.07,522.085,521.79,521.8,352986
1840,521.825,522.11,521.81,522.08,1477768
1841,521.6,522.03,521.36,521.815,1017911
1842,521.94,521.94,521.45,521.605,693848
1843,522.12,522.16,521.82,521.95,528879
1844,522.29,522.42,522.025,522.145,1012822
1845,522.31,522.357,522.09,522.28,417527
1846,522.23,522.42,522.12,522.315,640242
1847,522.49,522.5,522.13,522.225,875598
1848,522.57,522.57,522.345,522.5,643796
1849,522.33,522.645,522.23,522.565,635110
1850,522.855,522.89,522.08,522.33,1240446
1851,522.985,523.1,522.6,522.859,1779462
1852,523.22,523.23,522.965,522.99,408338
1853,522.96,523.269,522.83,523.205,1086648
1854,523.88,523.91,522.9,522.96,771967
